# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,ASCII
0,"193","0:03.762.764","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"194","0:03.763.666","278.200 us","1 B","","S","50","Write Transaction",9D,"."
0,"195","0:03.763.945","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"196","0:03.764.645","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"197","0:03.765.619","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"198","0:03.765.898","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"199","0:03.766.751","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"200","0:03.767.654","278.200 us","1 B","","S","50","Write Transaction",88,"."
0,"201","0:03.767.932","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"202","0:03.768.643","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"203","0:03.769.643","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"204","0:03.769.921","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"205","0:03.770.774","321.800 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"206","0:03.771.676","278.100 us","1 B","","S","50","Write Transaction",9D,"."
0,"207","0:03.771.954","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"208","0:03.772.643","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"209","0:03.773.615","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"210","0:03.773.893","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"211","0:03.774.746","321.700 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"212","0:03.775.649","278.100 us","1 B","","S","50","Write Transaction",89,"."
0,"213","0:03.775.927","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"214","0:03.776.645","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"215","0:03.777.633","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"216","0:03.777.911","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"217","0:03.778.763","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"218","0:03.779.675","278.200 us","1 B","","S","50","Write Transaction",9D,"."
0,"219","0:03.779.953","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"220","0:03.780.643","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"221","0:03.781.635","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"222","0:03.781.913","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"223","0:03.782.761","321.800 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"224","0:03.783.668","278.100 us","1 B","","S","50","Write Transaction",9E,"."
0,"225","0:03.783.947","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"226","0:03.784.646","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"227","0:03.785.645","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"228","0:03.785.923","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"229","0:03.786.776","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"230","0:03.787.679","278.100 us","1 B","","S","50","Write Transaction",94,"."
0,"231","0:03.787.957","218.100 us","1 B","","SP","50","Read Transaction",00*,"."
0,"232","0:03.788.650","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"233","0:03.790.303","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"234","0:03.790.582","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"235","0:03.791.437","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"236","0:03.792.346","278.200 us","1 B","","S","50","Write Transaction",8E,"."
0,"237","0:03.792.624","218.000 us","1 B","","SP","50","Read Transaction",64*,"d"
0,"238","0:03.793.472","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"239","0:03.794.555","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"240","0:03.794.834","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"241","0:03.795.682","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"242","0:03.796.590","278.100 us","1 B","","S","50","Write Transaction",8E,"."
0,"243","0:03.796.868","218.100 us","1 B","","SP","50","Read Transaction",64*,"d"
0,"244","0:03.797.716","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"245","0:03.798.698","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"246","0:03.798.976","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"247","0:03.799.824","321.700 us","2 B","","SP","50","Write Transaction",7F 2F,"./"
0,"248","0:03.800.641","278.200 us","1 B","","S","50","Write Transaction",80,"."
0,"249","0:03.800.919","218.000 us","1 B","","SP","50","Read Transaction",07*,"."
0,"250","0:03.801.764","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"251","0:03.802.720","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"252","0:03.802.998","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"253","0:03.803.845","321.800 us","2 B","","SP","50","Write Transaction",7F 2C,".,"
0,"254","0:03.804.638","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"255","0:03.804.916","13.389.100 ms","128 B","","SP","50","Read Transaction",55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 00 00 00 00 AA AA AA AA AA AA AA AA 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 00 00 00 00 AA AA AA AA AA AA AA AA 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55*,"UUUUUUUUUUUUUUUUUUUUUUUU"
0,"256","0:03.832.842","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"257","0:03.833.810","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"258","0:03.834.088","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"259","0:03.834.931","321.800 us","2 B","","SP","50","Write Transaction",7F 20,". "
0,"260","0:03.835.766","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"261","0:03.836.044","13.389.200 ms","128 B","","SP","50","Read Transaction",00 09 01 09 02 09 03 09 04 09 05 09 06 09 07 09 10 0B 11 0B 12 0B 13 0B 14 0B 15 0B 16 0B 17 0B 20 0D 21 0D 22 0D 23 0D 24 0D 25 0D 26 0D 27 0D 30 0F 31 0F 32 0F 33 0F 34 0F 35 0F 36 0F 37 0F 40 0A 41 0A 42 0A 43 0A 44 0A 45 0A 46 0A 47 0A 50 0C 51 0C 52 0C 53 0C 54 0C 55 0C 56 0C 57 0C 60 0E 61 0E 62 0E 63 0E 64 0E 65 0E 66 0E 67 0E 70 10 71 10 72 10 73 10 74 10 75 10 76 10 77 10*,"........................"
0,"262","0:03.864.828","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"263","0:03.865.952","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"264","0:03.866.231","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"265","0:03.867.074","321.800 us","2 B","","SP","50","Write Transaction",7F 21,".!"
0,"266","0:03.867.976","278.100 us","1 B","","S","50","Write Transaction",80,"."
